Population Population_Type Treatment Replicate Date Longest_leaf n_Leaves Biomass Shoot_biomass Root_biomass Root.shoot_ratio Experience Stage Exp_Pop
PTP N C 5 2012-04-30 15.5 25 0.413 0.116 0.297 2.56034482758621 N Seedling N.PTP
PTP N T 1 2012-04-30 17 28 0.614 0.204 0.41 2.00980392156863 N Seedling N.PTP
PTP N T 2 2012-04-30 26.5 23 1 0.315 0.685 2.17460317460317 N Seedling N.PTP
PTP N T 3 2012-04-30 13 22 0.526 0.13 0.396 3.04615384615385 N Seedling N.PTP
PTP N T 4 2012-04-30 17.5 30 1.314 0.294 1.02 3.46938775510204 N Seedling N.PTP
PTP N T 5 2012-04-30 12.5 24 0.998 0.152 0.846 5.56578947368421 N Seedling N.PTP
LHP#1 N C 1 2012-04-30 17 20 0.417 0.19 0.227 1.19473684210526 N Seedling N.LHP#1
LHP#1 N C 2 2012-04-30 19.5 28 0.488 0.314 0.174 0.554140127388535 N Seedling N.LHP#1
LHP#1 N C 3 2012-04-30 16.5 27 0.638 0.274 0.364 1.32846715328467 N Seedling N.LHP#1
LHP#1 N C 4 2012-04-30 14 21 0.408 0.177 0.231 1.30508474576271 N Seedling N.LHP#1
LHP#1 N C 5 2012-04-30 20 37 0.634 0.458 0.176 0.384279475982533 N Seedling N.LHP#1
LHP#1 N T 1 2012-04-30 24 27 0.568 0.321 0.247 0.769470404984423 N Seedling N.LHP#1
LHP#1 N T 2 2012-04-30 10 8 0.075 0.044 0.031 0.704545454545455 N Seedling N.LHP#1
LHP#1 N T 3 2012-04-30 24 16 0.47 0.221 0.249 1.12669683257919 N Seedling N.LHP#1
LHP#1 N T 4 2012-04-30 NA NA NA NA NA NA N Seedling N.LHP#1
LHP#1 N T 5 2012-04-30 NA NA NA NA NA NA N Seedling N.LHP#1
BLK E C 1 2012-04-30 19.5 28 0.483 0.265 0.218 0.822641509433962 E Seedling E.BLK
BLK E C 2 2012-04-30 21 26 0.488 0.249 0.239 0.959839357429719 E Seedling E.BLK
