date,time,db,Hot/cold te,time of day (early/midday),Te 30,Te 60,site,SVL,Ta,Tb,Tset,habitat type,pressed,sex,Tsub,light,substrate,sub type,behavior,de,E
6-Jul-15,9:11:00 AM,2.018,C,E,29.78,31.81,9 W SPS,58,,35.1,37.118,SPS,n,m,,mixed,ground,oak shrub perimeter on sand,,7.338,0.724993186
6-Jul-15,9:25:00 AM,,,,,,9 W SPS,,31.5,,,,,,,,,,,,
6-Jul-15,9:38:00 AM,0.359,C,E,32.59,31.81,9 W SPS,45.5,,35,35.359,SPS,n,m,46.6,full sun,ground,dead wood,,2.769,0.870350307
6-Jul-15,10:05:00 AM,,,,,,9 W SPS,,31.2,,,,,,,,,,,,
6-Jul-15,10:17:00 AM,3.965,C,E,36.31,36.51,9 W SPS,51,,34.5,38.465,SPS,n,m,,full sun,ground,sand road,,2.155,0.839907193
6-Jul-15,11:13:00 AM,3.845,C,E,34.85,31.99,Kerr LLP,50,31.5,34.5,38.345,LLP,n,m,34.3,mix,tree,1.5m up TO,,3.495,0.100143062
6-Jul-15,11:26:00 AM,2.578,C,E,35.04,31.99,Kerr LLP,55,,34.5,37.078,LLP,y,m,32,mix,tree,1m up TO,chasing female,2.038,0.264965653
6-Jul-15,11:36:00 AM,1.014,C,M,35.15,31.99,Kerr LLP,55,,35,36.014,LLP,n,m,38.1,full sun,ground,sand road,,0.864,0.173611111
6-Jul-15,11:46:00 AM,,,,,,Kerr LLP,,32.2,,,,,,,,,,,,
6-Jul-15,11:57:00 AM,5.872,C,M,34.29,31.99,Kerr LLP,54.5,,32.8,38.672,LLP,n,m,29.4,overcast,tree,1m up TP,,4.382,0.340027385
6-Jul-15,12:08:00 PM,,,,,37.56,Kerr LLP,53,,32.4,,LLP,n,f,28.5,shade,tree,0.25m up TO,BP #3,,
6-Jul-15,12:19:00 PM,1.692,H,M,39.34,37.56,Kerr LLP,45.5,,35.1,36.792,LLP,y,m,33.9,mix,tree,0.5m up TO,,2.548,0.335949765
6-Jul-15,12:23:00 PM,,,,,37.56,Kerr LLP,,32.2,,,,,,,,,,,,
6-Jul-15,12:32:00 PM,,,,,37.56,Kerr LLP,,,34.5,,LLP,n,f,,mix,tree,0.05m up TO,,,
6-Jul-15,12:44:00 PM,,,,,37.56,Kerr LLP,53,,38.9,,LLP,y,f,,,ground,leaf litter,,,
6-Jul-15,12:59:00 PM,2.609,H,M,39.82,37.56,Kerr LLP,54,,35.3,37.909,LLP,n,m,35.6,full sun,tree,1m up TO,BP #3,1.911,0.365253794
6-Jul-15,1:10:00 PM,5.094,H,M,39.82,37.56,Kerr LLP,47,,33.1,38.194,LLP,y,m,29.4,mix,tree,1.5m up TO,,1.626,2.132841328
10-Jul-15,8:12:00 AM,,,,,,38 SPS,,29.8,,,,,,,,,,,,
10-Jul-15,8:46:00 AM,,,,,,38 SPS,,31.5,,,,,,,,,,,,
10-Jul-15,9:16:00 AM,1.72,C,E,33.25,34.48,38 SPS,48.5,,34.8,36.52,SPS,n,m,,mix,ground,leaf litter,,3.27,0.474006116
10-Jul-15,9:33:00 AM,,,,,34.48,38 SPS,63,34.3,34.3,,SPS,n,f,34.3,mix,ground,leaf litter,,,
10-Jul-15,11:04:00 AM,,,,,,Salt springs LLP,,34.3,,,,,,,,,,,,
10-Jul-15,11:51:00 AM,0.544,H,M,41.9,41,Salt springs LLP,49,,36.9,36.356,LLP,n,m,35.3,mix,tree,1m up TO,foraging,5.544,0.901875902
10-Jul-15,11:57:00 AM,,,,,41,Salt springs LLP,54,,35.9,,LLP,n,f,35.9,mix,tree,1.5m up TO,basking,,
10-Jul-15,12:02:00 PM,0.269,H,M,40.78,40.9,Salt springs LLP,52.5,,35.1,35.369,LLP,n,m,33.6,overcast,tree,1m up TO,foraging,5.411,0.950286454
10-Jul-15,12:06:00 PM,,,,,,Salt springs LLP,,35.7,,,,,,,,,,,,
10-Jul-15,12:15:00 PM,1.318,H,M,38.68,40.9,Salt springs LLP,48,,35,36.318,LLP,n,m,,,tree,1m up TO,,2.362,0.441998307
10-Jul-15,12:40:00 PM,,,,,,Salt springs LLP,,35.7,,,,,,,,,,,,
10-Jul-15,1:14:00 PM,,,,,,Salt springs LLP,,34.9,,,,,,,,,,,,
12-Jul-15,8:20:00 AM,,,,,,Kerr LLP,,24.8,,,,,,,,,,,,
12-Jul-15,8:34:00 AM,,,,,25.51,Kerr LLP,,,33.1,,LLP,,,29.3,full sun,ground,leaf litter,BP #1,,
12-Jul-15,8:45:00 AM,,,,,25.51,Kerr LLP,60,,30.2,,LLP,n,f,,mix,ground,leaf litter,,,
12-Jul-15,9:02:00 AM,,,,,,Kerr LLP,,28.4,,,,,,,,,,,,
12-Jul-15,9:06:00 AM,5.86,C,E,27.18,30.11,Kerr LLP,56,,32.6,38.46,LLP,n,m,,mix,ground,leaf litter,,11.28,0.480496454
12-Jul-15,9:23:00 AM,4.503,C,E,28.96,30.11,Kerr LLP,56,,34.5,39.003,LLP,n,m,32.1,mix,tree,1.5m up TO,,10.043,0.551628
12-Jul-15,9:30:00 AM,,,,,30.11,Kerr LLP,58,,33.9,,LLP,n,f,29.3,mix,tree,1m up TO,same tree as above male,,
12-Jul-15,9:41:00 AM,,,,,,Kerr LLP,,31.5,,,,,,,,,,,,
12-Jul-15,9:53:00 AM,4.473,C,E,32.93,30.11,Kerr LLP,55,,34.3,38.773,LLP,n,m,35.4,full sun,tree,1m up TO,BP # 2,5.843,0.234468595
12-Jul-15,10:11:00 AM,,,,,,Kerr LLP,,32.3,,,,,,,,,,,,
12-Jul-15,10:21:00 AM,2.503,C,E,36.37,37.03,Kerr LLP,50.5,,34.8,37.303,LLP,n,m,33.6,mix,tree,1m up LLP,BP # 2,0.933,1.682743837
12-Jul-15,10:37:00 AM,,,,,,Kerr LLP,,34,,,,,,,,,,,,
12-Jul-15,11:15:00 AM,,,,,,9 W SPS,,34.2,,,,,,,,,,,,
12-Jul-15,11:21:00 AM,,,,,38.9,9 W SPS,60,,36.4,,SPS,n,f,,mix,ground,leaf litter,,,
12-Jul-15,11:55:00 AM,,,,,,9 W SPS,,36.8,,,,,,,,,,,,
12-Jul-15,12:12:00 PM,,,,,,9 W SPS,,38.3,,,,,,,,,,,,
12-Jul-15,12:47:00 PM,,,,,,9 W SPS,,37,,,,,,,,,,,,
12-Jul-15,12:26:00 PM,,,,,38.31,9 W SPS,58.5,,38.4,,SPS,y,f,,full sun,ground,sand on oak shrub perimeter,,,
12-Jul-15,1:09:00 PM,,,,,,9 W SPS,,36.2,,,,,,,,,,,,
15-Jul-15,8:08:00 AM,,,,,,9 W SPS,,28.1,,,,,,,,,,,,
15-Jul-15,8:21:00 AM,7.253,C,E,29.7,29.45,9 W SPS,53.5,,30.4,37.653,SPS,n,m,30.6,mix,ground,leaf litter under oak shrub,,7.953,0.088017101
15-Jul-15,8:53:00 AM,,,,,,9 W SPS,,30.6,,,,,,,,,,,,
15-Jul-15,9:03:00 AM,,,,28.6,33.41,9 W SPS,,,32.8,,SPS,y,m,,mix,ground,oak shrub perimeter on leaves,,,
15-Jul-15,9:17:00 AM,2.417,C,E,31.23,33.41,9 W SPS,55,,33,35.417,SPS,y,m,,full sun,ground,sand road,,4.187,0.422737043
15-Jul-15,9:23:00 AM,5.242,C,E,31.23,33.41,9 W SPS,49,,32.9,38.142,SPS,n,m,32.3,mix,ground,leaf litter,,6.912,0.241608796
15-Jul-15,9:52:00 AM,,,,36.82,33.41,9 W SPS,,,34,,SPS,n,m,34.6,mix,ground,dead wood,,,
15-Jul-15,9:54:00 AM,,,,,,9 W SPS,,35,,,,,,,,,,,,
15-Jul-15,10:00:00 AM,,,,,37.37,9 W SPS,58.5,,36.5,,SPS,n,f,,,,,,,
15-Jul-15,10:09:00 AM,2.221,C,E,36.31,37.37,9 W SPS,54,,35.4,37.621,SPS,n,m,,full sun,ground,open sand,chasing female,1.311,0.694126621
15-Jul-15,10:34:00 AM,,,,37.43,37.37,9 W SPS,,34.2,36.5,,SPS,n,m,,,ground,,,,
15-Jul-15,11:06:00 AM,,,,,,Salt springs LLP,,31.2,,,,,,,,,,,,
15-Jul-15,11:22:00 AM,,,,,37.4,Salt springs LLP,67,,36.6,,LLP,n,f,36.6,full sun,tree,1.5m up TO,,,
15-Jul-15,11:27:00 AM,,,,39.53,37.4,Salt springs LLP,,,34.9,,LLP,n,m,36.4,full sun,tree,0.5m up TO,chasing female above,,
15-Jul-15,11:49:00 AM,4.919,C,M,34.67,37.4,Salt springs LLP,56.5,,32.3,37.219,LLP,n,m,30.9,shade,tree,0.5m up TO,BP #2,2.549,0.929776383
15-Jul-15,11:55:00 AM,6.09,C,M,34.67,37.4,Salt springs LLP,53,,32.2,38.29,LLP,n,m,32.1,overcast,tree,1m up TO,foraging,3.62,0.682320442
15-Jul-15,12:02:00 PM,,,,,35.03,Salt springs LLP,56,32.2,34.8,,LLP,n,f,,,ground,sand road,running across road,,
15-Jul-15,12:06:00 PM,4.007,C,M,34.23,35.03,Salt springs LLP,53,,33.4,37.407,LLP,n,m,32.6,overcast,tree,2m up TO,foraging; BP #1,3.177,0.261252754
15-Jul-15,12:13:00 PM,,,,,35.03,Salt springs LLP,55.5,,33.4,,LLP,n,f,32,overcast,tree,1m up TO,,,
15-Jul-15,12:18:00 PM,3.59,C,M,34.84,35.03,Salt springs LLP,49,,34.1,37.69,LLP,n,m,34.2,mix,tree,2.5m up TO,foraging,2.85,0.259649123
15-Jul-15,12:34:00 PM,,,,,35.03,Salt springs LLP,58,,32.3,,LLP,n,f,31.1,overcast,tree,0.5m up TO,,,
15-Jul-15,12:59:00 PM,,,,,,Salt springs LLP,,32.8,,,,,,,,,,,,
15-Jul-15,1:05:00 PM,0.03,C,M,35.07,35.03,Salt springs LLP,51,,37.6,37.63,LLP,n,m,36.4,full sun,ground,leaf litter,,2.56,0.98828125
16-Jul-15,8:14:00 AM,,,,,,Kerr LLP,,29,,,,,,,,,,,,
16-Jul-15,8:26:00 AM,,,,,28.1,Kerr LLP,53.5,,28.5,,LLP,n,f,,mix,ground,leaf litter,,,
16-Jul-15,8:32:00 AM,,,,,,Kerr LLP,,28.6,,,,,,,,,,,,
16-Jul-15,8:40:00 AM,,,,,28.1,Kerr LLP,60,,35.2,,LLP,n,f,33.6,full sun,tree,0.5m up TO,foraging; BP #2,,
16-Jul-15,8:57:00 AM,1.898,C,E,30.21,28.1,Kerr LLP,51.5,,36.2,38.098,LLP,n,m,30.2,full sun,ground,sand road,,7.888,0.759381339
16-Jul-15,9:06:00 AM,,,,,,Kerr LLP,,30.2,,,,,,,,,,,,
16-Jul-15,9:14:00 AM,,,,,31.7,Kerr LLP,56,,34.4,,LLP,n,f,33,full sun,ground,sand road,,,
16-Jul-15,9:27:00 AM,2.438,C,E,31.31,31.7,Kerr LLP,47.5,,35,37.438,LLP,y,m,,mix,ground,leaf litter,,6.128,0.602154047
16-Jul-15,9:51:00 AM,,,,,31.7,Kerr LLP,65,,34.5,,LLP,n,f,,full sun,ground,leaf litter; road perimeter,,,
16-Jul-15,9:59:00 AM,5.97,C,E,32.73,31.7,Kerr LLP,52,,36.4,30.43,LLP,n,m,39.4,full sun,ground,leaf litter,,2.3,1.595652174
16-Jul-15,10:06:00 AM,,,,,,Swiss SPS,,31.4,,,,,,,,,,,,
16-Jul-15,11:01:00 AM,,,,,,Swiss SPS,,31.2,,,,,,,,,,,,
16-Jul-15,12:26:00 PM,,,,,,Swiss SPS,,32.4,,,,,,,,,,,,
16-Jul-15,12:58:00 PM,,,,,,Swiss SPS,,36.8,,,,,,,,,,,,
21-Jul-15,8:01:00 AM,,,,,,9 W SPS,,28.8,,,,,,,,,,,,
21-Jul-15,8:21:00 AM,,,,,29.7,9 W SPS,58,,34.9,,SPS,n,f,,mix,ground,perimeter of 2m^2 oak shrub stand,,,
21-Jul-15,8:43:00 AM,,,,,29.7,9 W SPS,60.5,,33.9,,SPS,n,f,32.5,full sun,ground,leaf litter,,,
21-Jul-15,8:57:00 AM,,,,,,9 W SPS,,33.2,,,,,,,,,,,,
21-Jul-15,10:03:00 AM,,,,,,9 W SPS,,34,,,,,,,,,,,,
21-Jul-15,10:12:00 AM,,,,38,38.57,9 W SPS,50.5,,36.6,,SPS,n,m,37.8,full sun,ground,sand,,,
21-Jul-15,10:45:00 AM,,,,,,9 W SPS,,36.4,,,,,,,,,,,,
21-Jul-15,11:09:00 AM,,,,,,Salt springs LLP,,33.7,,,,,,,,,,,,
21-Jul-15,11:38:00 AM,,,,,36.78,Salt springs LLP,57.5,,35.5,,LLP,n,f,38.2,mix,ground,leaf litter,,,
21-Jul-15,11:54:00 AM,,,,,36.78,Salt springs LLP,57.5,,36.1,,LLP,n,f,35.7,mix,tree,1m up TO,foraging,,
21-Jul-15,12:01:00 PM,,,,,39.04,Salt springs LLP,53,34.3,35.3,,LLP,n,f,,,,,,,
21-Jul-15,12:17:00 PM,2.977,H,M,39.64,39.04,Salt springs LLP,56.5,,35.9,38.877,LLP,y,m,,,,,,0.763,2.901703801
21-Jul-15,12:36:00 PM,,,,,39.04,Salt springs LLP,59,,38.1,,LLP,y,f,,full sun,ground,leaf litter by road,,,
21-Jul-15,12:49:00 PM,,,,39.56,39.04,Salt springs LLP,,,35.6,,LLP,,,,overcast,tree,0.5m up TO,,,
21-Jul-15,1:30:00 PM,,,,,,Salt springs LLP,,32.8,,,,,,,,,,,,
