site,site.dist,carcasses,date,Manta.time,discharge,Temp_deg_C,Turb_NTU,Chl_ug.l,HDO_mg.l,HDO_.Sat,SpCond_uS.cm,SpCond_mS.cm,Salinity_PSS,TDS_mg.l,pH_units,pH_mV,Int_Batt_V,BP_mmHg,Sample.Time,DOC.mgL,DOC.Flux.kgd,NO3.ugL,NO3.Flux.kgd,PO4.ugL,PO4.Flux.kgd,NH4.ugL,NH4.Flux.kgd,TDN.mgL,TDP.ugL,TN.mgL,TN.ugL,TN.Flux.kgd,TP.ugL,TP.Flux.kgd,TSS.mgL,TSS.flux.kgd,AFDM.mgL,AFDM.flux.kgd,Org.pct,Chl.ugL,CPOM.mgL,CPOM.flux.kgd
Site 3,125,y,11/5/2012,,,,,,,,,,,,,,,,16:45,3.71,,810.62,,24.11,,53.64,,,,2.13,,,264.07,,523.6375,,52.73,,0.1,4.836525,,
Site 3,125,y,11/24/2012,17:00,4.9,25.48,184.7,9.69,6.03,87.5,104.3,0.104,0.05,66.7,7.15,-35.78,8.37,643,17:00,3.53,1494.4608,1086.7,460.065312,35.42,14.9954112,76.59,32.4251424,,,2.22,,939.8592,207.46,87.8302656,170.06,71996.6016,27,11430.72,0.16,3.4338,0.388562802,164.5019477
Site 3,125,y,12/3/2012,,,,,,,,,,,,,,,,14:00,3.04,,1072.41,,38.25,,,,,,1.76,,,135.05,,,,,,,,,
Site 3,125,y,8/17/2013,10:45,13.43,21.85,666.6,0.72,6.07,82.8,141.3,0.141,0.07,90.4,7.26,-19.79,NA,637.627,10:45,4.32,5012.72064,700.65,813.0006288,11.92,13.83139584,33.6,38.9878272,,,1.95,,2262.6864,251.98,292.385497,402.4096386,466936.829,51.81,60117.83712,0.13,4.435792683,3.195023495,3707.351903
Site 3,125,y,8/28/2013,17:00,15.71,22.92,463.9,0.58,6.37,88.7,123.2,0.123,0.06,78.8,7.27,-20.77,NA,641.41,17:00,3.1,4207.7664,742.84,1008.289417,16.87,22.89839328,108.57,147.3668381,,,2.35,,3189.7584,265.73,360.6870211,,,,,,,,
Site 3,125,y,9/4/2013,16:30,25.89,23.08,287.7,2.72,2.24,31.4,547.8,0.547,0.26,350.5,7.54,-35.62,NA,641.45,16:30,6.08,13600.32768,595.47,1332.004461,2.1,4.6974816,336.12,751.8654835,,,7.21,,16128.02016,953.71,2133.350084,1818.75,4068354.6,243.75,545243.4,0.13,90.7125,,
Site 3,125,y,9/11/2013,15:30,12.9,23.11,308.2,0.06,6.33,88.5,164.9,0.164,0.08,105.5,10.42,-194.8,NA,639.802,15:30,3.61,4023.5616,842.77,939.3177312,22.5,25.0776,116.2,129.511872,,,1.51,,1682.9856,166.08,185.1061248,179.7979798,200395.6364,25.25,28142.64,0.14,2.409653465,,
Site 3,125,y,9/27/2013,8:30,39.26,21.97,207.1,-0.19,4.57,62.5,270.5,0.27,0.13,173.1,4.4,137.9,NA,639.157,8:30,5.57,18893.79648,707.03,2398.29101,5.54,18.79203456,82.77,280.7611373,,,5.77,,19572.20928,792.59,2688.516006,2342.105263,7944570.947,184.21,624852.1094,0.08,24.32048077,,
Site 3,125,y,10/9/2013,,,,,,,,,,,,,,,,15:30,3.67,,950.39,,26.21,,53.04,,,,2.16,,,172.56,,163.8297872,,28.72,,0.18,2.032412791,0.881275488,
Site 3,125,n,11/16/2013,15:45,7.32,26.58,66.6,7.75,5.22,77.7,154.4,0.154,0.07,98.8,7.64,-17.63,NA,641.356,14:45,3.96,2504.49408,792.71,501.3478541,15.16,9.58791168,45.09,28.51708032,,,1.74,,1100.45952,159.91,101.1347597,104.2553191,65936.06805,13.83,8746.75584,0.13,3.932478261,0.242577342,153.417555
Site 3,125,n,11/30/2013,12:00,5.97,23.49,228,0.2,4.96,69.8,172.4,0.172,0.08,110.3,7.79,-25.49,NA,639.232,12:00,3.93,2027.12544,933.86,481.6924589,16.17,8.34061536,88.99,45.90175392,,,2.17,,1119.30336,202.55,104.4769104,123.2,63547.5456,20.8,10728.8064,0.17,6.186805556,0.311448951,160.6478607
Site 3,125,n,1/12/2014,13:45,5.75,25.56,430.9,7.4,5.02,73.2,233.3,0.233,0.11,149.3,7.91,-22.58,NA,641.528,11:45,4.71,2339.928,1160.66,576.615888,29.49,14.650632,139.88,69.492384,,,2.83,,1405.944,334.86,166.358448,336,166924.8,44,21859.2,0.13,8.48715,0.091602633,45.50818796
Site 3,125,n,2/4/2014,11:15,2.3,23.06,135.4,22.83,3.71,51.6,549.1,0.549,0.26,351.4,7.25,8.19,NA,638.544,11:15,6.36,1263.8592,1322.52,262.8111744,26.35,5.236272,148.65,29.539728,,,3.44,,683.5968,304.21,60.4526112,138.3333333,27489.59999,26.67,5299.8624,0.19,29.42625,,
Site 3,125,n,2/14/2014,10:15,2.11,21.07,349.2,12.43,2.87,38.4,653.8,0.653,0.31,418.4,7.43,0.06,NA,638.041,12:15,6.55,1194.0912,1368.01,249.393695,43.94,8.01043776,184.08,33.55852032,,,3.88,,707.33952,420.85,76.7226384,263.5294118,48042.46589,40,7292.16,0.15,10.288125,0.02583664,4.71012282
Site 3,125,n,2/27/2014,10:00,2.83,22.27,397.2,28.91,3.55,49,789.4,0.789,0.38,505.2,7.41,-20.1,NA,638.732,10:00,6.45,1577.1024,841.94,205.8644333,8.9,2.1761568,503.92,123.214487,,,3.92,,958.48704,480.46,117.4782355,162,39610.944,34,8313.408,0.21,27.3465,0.134350528,32.85031631
Site 3,125,n,3/28/2014,13:00,8.61,25.53,1723,7.12,5.39,79.1,324.5,0.324,0.15,207.7,7.54,-27.5,NA,639.46,13:00,6.31,4694.03424,819.33,609.5028643,10.15,7.5506256,99.25,73.832472,,,3.93,,2923.54272,562.58,418.5055123,1304.761905,970617.6002,119.05,88561.7712,0.09,9.2335,0.815433066,606.6039196
